"Id","Rep","TempLevel","pH_Level","best_model_name","best_aicc","term","estimate","std.error","statistic","p.value"
"D14","1",38,9,"fits_baranyi_without_lag",33.5182611013548,"log10_n0",-1.34928176767571,0.195768859347237,-6.89221856925913,1.42477072527908e-07
"D14","1",38,9,"fits_baranyi_without_lag",33.5182611013548,"mumax",0.00206506691938042,0.00176026356939829,1.17315779027701,0.250278622601236
"D14","2",38,9,"fits_baranyi_without_lag",30.2653347473452,"log10_nmax",-0.78494967360013,0.159616711810443,-4.91771610063186,3.1884553805698e-05
"D14","2",38,9,"fits_baranyi_without_lag",30.2653347473452,"log10_n0",-1.32800021993974,0.181252212141326,-7.32680834209227,4.52697650859953e-08
"D14","2",38,9,"fits_baranyi_without_lag",30.2653347473452,"mumax",0.00185428480587539,0.00159034941103816,1.16596063293093,0.253130386410669
"D14","3",38,9,"fits_baranyi_without_lag",28.0041450933848,"log10_nmax",-0.826558696774273,0.141617086460199,-5.83657464953265,2.49614799749595e-06
"D14","3",38,9,"fits_baranyi_without_lag",28.0041450933848,"log10_n0",-1.33367673110349,0.180780611151537,-7.37732173051208,3.9677534494599e-08
"D14","3",38,9,"fits_baranyi_without_lag",28.0041450933848,"mumax",0.00198943066319639,0.00174752735627521,1.13842604869819,0.264260279987777
"D14","1",38,10,"fits_baranyi_without_lag",12.7961929053993,"log10_nmax",-0.473483517950683,0.477823219121441,-0.990917768335459,0.329922177536529
"D14","1",38,10,"fits_baranyi_without_lag",12.7961929053993,"log10_n0",-1.45766979079062,0.108165916303242,-13.4762394718135,5.14412300589759e-14
"D14","1",38,10,"fits_baranyi_without_lag",12.7961929053993,"mumax",0.000969774458140016,0.000513591972786863,1.8882196559222,0.069037855067535
"D14","2",38,10,"fits_buchanan_without_lag",15.6870753088921,"log10_nmax",-0.674883330892848,0.140029345156249,-4.8195849958435,4.18771250621797e-05
"D14","2",38,10,"fits_buchanan_without_lag",15.6870753088921,"log10_n0",-1.43329361576156,0.0963718440116404,-14.8725349240846,4.18533050245279e-15
"D14","2",38,10,"fits_buchanan_without_lag",15.6870753088921,"mumax",0.000746843619342262,0.00020979686253541,3.55984169790054,0.00130207353317249
"D14","3",38,10,"fits_baranyi_without_lag",16.9650371476367,"log10_nmax",-0.496627073730029,0.434429682252669,-1.14317021607466,0.262317685246803
"D14","3",38,10,"fits_baranyi_without_lag",16.9650371476367,"log10_n0",-1.43920690948204,0.116570736473409,-12.3462110047691,4.5260083023491e-13
"D14","3",38,10,"fits_baranyi_without_lag",16.9650371476367,"mumax",0.00101584703754365,0.000563694033613099,1.802124870885,0.0819299856186405
"D14","1",38,11,"fits_baranyi_without_lag",7.88538401367957,"log10_nmax",-0.600618506231697,0.194642445143492,-3.08575298562919,0.00443480734607235
"D14","1",38,11,"fits_baranyi_without_lag",7.88538401367957,"log10_n0",-1.35194021501145,0.109277765493672,-12.3715946139999,4.30371654486824e-13
"D14","1",38,11,"fits_baranyi_without_lag",7.88538401367957,"mumax",0.00131117565284747,0.000633426134673848,2.06997403655059,0.0474649352354712
"D14","2",38,11,"fits_baranyi_without_lag",13.0782868079761,"log10_nmax",-0.633150447966626,0.173270412713068,-3.65411750369123,0.00101416616378706
"D14","2",38,11,"fits_baranyi_without_lag",13.0782868079761,"log10_n0",-1.36347917695647,0.122577185389129,-11.1234335543601,5.58895304831513e-12
"D14","2",38,11,"fits_baranyi_without_lag",13.0782868079761,"mumax",0.00148620254520904,0.00075088575923213,1.97926585627201,0.0573498498640309
"D14","3",38,11,"fits_baranyi_without_lag",15.9091901952111,"log10_nmax",-0.613135026331222,0.183094828919282,-3.3487293439703,0.00226286508907667
"D14","3",38,11,"fits_baranyi_without_lag",15.9091901952111,"log10_n0",-1.34940463895156,0.127712868871694,-10.565925351714,1.86560276343377e-11
"D14","3",38,11,"fits_baranyi_without_lag",15.9091901952111,"mumax",0.00147790673771963,0.000775252812018982,1.90635456564257,0.0665576225514936
