,Id,estimate,TempLevel,SalinityLevel,pH_Level,Rep
483,D17,0.002041505,38,5,7.2,3
485,D17,0.001522752,38,25,7.2,2
486,D17,0.001576819,38,25,7.2,3
487,D17,0.001688656,20,10,7.2,1
488,D17,0.001599363,20,10,7.2,2
489,D17,0.001682144,20,10,7.2,3
490,D17,0.001470744,20,30,7.2,1
491,D17,0.001442317,20,30,7.2,2
492,D17,0.001381976,20,30,7.2,3
493,D17,0.001662634,38,10,7.2,1
494,D17,0.00165378,38,10,7.2,2
495,D17,0.001519814,38,10,7.2,3
496,D17,0.0008399,38,30,7.2,1
497,D17,0.00107298,38,30,7.2,2
498,D17,0.00125419,38,30,7.2,3
499,D17,0.001497619,20,15,7.2,1
500,D17,0.001467694,20,15,7.2,2
501,D17,0.001484683,20,15,7.2,3
502,D17,0.001455767,20,35,7.2,1
503,D17,0.001508626,20,35,7.2,2
504,D17,0.001402296,20,35,7.2,3
505,D17,0.001518649,38,15,7.2,1
506,D17,0.001492361,38,15,7.2,2
507,D17,0.001232905,38,15,7.2,3
508,D17,0.000717944,38,35,7.2,1
509,D17,0.000782744,38,35,7.2,2
510,D17,0.00087126,38,35,7.2,3
511,D17,0.002027375,20,0,5.5,1
512,D17,0.001999821,20,0,5.5,2
513,D17,0.00203128,20,0,5.5,3
514,D17,0.001694908,20,20,5.5,1
515,D17,0.00175671,20,20,5.5,2
516,D17,0.001784757,20,20,5.5,3
517,D17,0.001761449,38,0,5.5,1
518,D17,0.001520939,38,0,5.5,2
519,D17,0.001657036,38,0,5.5,3
520,D17,0.001464456,38,20,5.5,1
521,D17,0.001617563,38,20,5.5,2
522,D17,0.001670449,38,20,5.5,3
523,D17,0.001808543,20,5,5.5,1
524,D17,0.00178429,20,5,5.5,2
525,D17,0.001796391,20,5,5.5,3
526,D17,0.001746976,20,25,5.5,1
527,D17,0.001806223,20,25,5.5,2
528,D17,0.001692665,20,25,5.5,3
529,D17,0.0021535,38,5,5.5,1
530,D17,0.001705706,38,5,5.5,2
531,D17,0.002079602,38,5,5.5,3
532,D17,0.001511064,38,25,5.5,1
533,D17,0.001703912,38,25,5.5,2
534,D17,0.001728098,38,25,5.5,3
535,D17,0.002022996,20,10,5.5,1
536,D17,0.002032978,20,10,5.5,2
537,D17,0.002028117,20,10,5.5,3
538,D17,0.001859355,20,30,5.5,1
539,D17,0.001668788,20,30,5.5,2
540,D17,0.001634139,20,30,5.5,3
541,D17,0.001892814,38,10,5.5,1
542,D17,0.001820868,38,10,5.5,2
544,D17,0.001335931,38,30,5.5,1
545,D17,0.001756383,38,30,5.5,2
546,D17,0.001736095,38,30,5.5,3
547,D17,0.002055625,20,15,5.5,1
548,D17,0.002019984,20,15,5.5,2
549,D17,0.001984807,20,15,5.5,3
