"","SampleID","Com_Id","Media","Temp","Evo_status","Stress","Diversity","Id","Abundance"
"215","M1.20.C5","Com5","M1",20,NA,"Control","Two","I11",0
"216","M1.20.C5","Com5","M1",20,NA,"Control","Two","D14",0
"217","M1.20.C6","Com6","M1",20,NA,"Control","Two","I15",0.00278536984488972
"218","M1.20.C6","Com6","M1",20,NA,"Control","Two","I11",0.000139268492244486
"219","M1.20.C6","Com6","M1",20,NA,"Control","Two","I20",0.00791219121563985
"220","M1.20.C6","Com6","M1",20,NA,"Control","Two","D17",0
"221","M1.20.C6","Com6","M1",20,NA,"Control","Two","I22",0.580375328586599
"222","M1.20.C6","Com6","M1",20,NA,"Control","Two","I18",0.0478387270859809
"223","M1.20.C6","Com6","M1",20,NA,"Control","Two","I2",0.0246244102849782
"224","M1.20.C6","Com6","M1",20,NA,"Control","Two","D11",0.309619971101788
"225","M1.20.C6","Com6","M1",20,NA,"Control","Two","I8",0.01785247984959
"226","M1.20.C6","Com6","M1",20,NA,"Control","Two","I23",0.00804275542711906
"227","M1.20.C6","Com6","M1",20,NA,"Control","Two","I9",0.000591891092039065
"228","M1.20.C6","Com6","M1",20,NA,"Control","Two","D14",0.000217607019132009
"229","M1.20.C7","Com7","M1",20,NA,"Control","Four","I18",0.0319470183723577
"230","M1.20.C7","Com7","M1",20,NA,"Control","Four","D17",0.00015051598762006
"231","M1.20.C7","Com7","M1",20,NA,"Control","Four","I20",0.257071899605836
"232","M1.20.C7","Com7","M1",20,NA,"Control","Four","I11",0.000169330486072568
"233","M1.20.C7","Com7","M1",20,NA,"Control","Four","D11",5.64434953575225e-05
"234","M1.20.C7","Com7","M1",20,NA,"Control","Four","I2",0.0107995221117393
"235","M1.20.C7","Com7","M1",20,NA,"Control","Four","I8",0.00800556909154194
"236","M1.20.C7","Com7","M1",20,NA,"Control","Four","I22",0.500625582073546
"237","M1.20.C7","Com7","M1",20,NA,"Control","Four","I15",0.0306394107299085
"238","M1.20.C7","Com7","M1",20,NA,"Control","Four","D14",0.00338660972145135
"239","M1.20.C7","Com7","M1",20,NA,"Control","Four","I9",0.0081372705807095
"240","M1.20.C7","Com7","M1",20,NA,"Control","Four","I23",0.149010827743859
"241","M1.20.C8","Com8","M1",20,NA,"Control","Four","D11",9.85036401572476e-05
"242","M1.20.C8","Com8","M1",20,NA,"Control","Four","D17",0.000438788942518649
"243","M1.20.C8","Com8","M1",20,NA,"Control","Four","I11",0.000125368269291042
"244","M1.20.C8","Com8","M1",20,NA,"Control","Four","I9",0.543301304725488
"245","M1.20.C8","Com8","M1",20,NA,"Control","Four","I15",0.307859694996911
"246","M1.20.C8","Com8","M1",20,NA,"Control","Four","I20",0.103751197714716
"247","M1.20.C8","Com8","M1",20,NA,"Control","Four","I23",0.00911606415273437
"248","M1.20.C8","Com8","M1",20,NA,"Control","Four","I22",0.0188410598991681
"249","M1.20.C8","Com8","M1",20,NA,"Control","Four","I8",0.00582962452203347
"250","M1.20.C8","Com8","M1",20,NA,"Control","Four","I2",0.00375209320235334
"251","M1.20.C8","Com8","M1",20,NA,"Control","Four","D14",0.000268646291337948
"252","M1.20.C8","Com8","M1",20,NA,"Control","Four","I18",0.00661765364329145
"253","M1.20.C9","Com9","M1",20,NA,"Control","Four","D11",0.00802883317061011
"254","M1.20.C9","Com9","M1",20,NA,"Control","Four","I8",0.365753339288311
"255","M1.20.C9","Com9","M1",20,NA,"Control","Four","I22",0.0505723010448908
"256","M1.20.C9","Com9","M1",20,NA,"Control","Four","D17",0.000166185421383909
"257","M1.20.C9","Com9","M1",20,NA,"Control","Four","I23",0.00369762562579198
"258","M1.20.C9","Com9","M1",20,NA,"Control","Four","D14",0.00340680113837014
"259","M1.20.C9","Com9","M1",20,NA,"Control","Four","I20",0.00775878186086126
"260","M1.20.C9","Com9","M1",20,NA,"Control","Four","I2",0.000924406406447994
"261","M1.20.C9","Com9","M1",20,NA,"Control","Four","I11",0.000716674629718108
"262","M1.20.C9","Com9","M1",20,NA,"Control","Four","I18",0.53054695776813
"263","M1.20.C9","Com9","M1",20,NA,"Control","Four","I9",0.00800805999293712
