"","Id","Stress","meanGrowth","sdGrowth","SampleID","Com_Id","Media","Temp","Evo_status","Diversity","Abundance"
"135","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C17","Com17","M1",20,"Non_evo","Eight",0
"136","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C2","Com2","M1",20,NA,"Two",0.000759227057872695
"137","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C14","Com14","M1",20,"Non_evo","Eight",0.0019311568673504
"138","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C12","Com12","M1",20,NA,"Four",0.0029200048050712
"139","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C8","Com8","M1",20,NA,"Four",0.000438788942518649
"140","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C16","Com16","M1",20,"Non_evo","Eight",0.000991959903936515
"141","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C22","Com22","M1",20,"Non_evo","Eight",0.000660337633503043
"142","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C13","Com13","M1",20,"Non_evo","Eight",0.000893938520099198
"143","D17","Control",0.00195937088888889,0.000226017299199887,"M1.20.C18","Com18","M1",20,"Non_evo","Eight",0.00130157490563582
"144","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C16","Com16","M2",20,"Non_evo","Eight",0.00113606314944127
"145","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C13","Com13","M2",20,"Non_evo","Eight",0.000174413534490276
"146","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C17","Com17","M2",20,"Non_evo","Eight",0.000132571894758311
"147","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C2","Com2","M2",20,NA,"Two",0.000939989854077766
"148","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C8","Com8","M2",20,NA,"Four",0.00182508529293078
"149","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C14","Com14","M2",20,"Non_evo","Eight",0.000191828122002686
"150","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C22","Com22","M2",20,"Non_evo","Eight",0.000321930225859469
"151","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C12","Com12","M2",20,NA,"Four",0.00798170049155594
"152","D17","pH",0.00185638911111111,0.000310579583634149,"M2.20.C18","Com18","M2",20,"Non_evo","Eight",0.00015930729439988
"153","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C14","Com14","M4",20,"Non_evo","Eight",0.00154356496395153
"154","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C18","Com18","M4",20,"Non_evo","Eight",0.000892890360504483
"155","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C16","Com16","M4",20,"Non_evo","Eight",0.00163357951663242
"156","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C22","Com22","M4",20,"Non_evo","Eight",0.000665503534363365
"157","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C8","Com8","M4",20,NA,"Four",0.00223053917227782
"158","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C2","Com2","M4",20,NA,"Two",0.0806361494173759
"159","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C17","Com17","M4",20,"Non_evo","Eight",0.000832426202215534
"160","D17","pHSal",0.00183035175,7.94465239511998e-05,"M4.20.C13","Com13","M4",20,"Non_evo","Eight",0.000848936031270699
"161","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C18","Com18","M4",38,"Non_evo","Eight",0.000167113568862184
"162","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C17","Com17","M4",38,"Non_evo","Eight",0.000181690547962175
"163","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C8","Com8","M4",38,NA,"Four",0.00349804589250474
"164","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C16","Com16","M4",38,"Non_evo","Eight",0.00207047876728149
"165","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C13","Com13","M4",38,"Non_evo","Eight",0
"166","D17","pHSalTemp",0.001198199,0.000930136265390319,"M4.38.C2","Com2","M4",38,NA,"Two",0.0026249187058759
