Id,estimate,TempLevel,Stress,Rep
I20,0.002038678,20,pH_Sal,2
I20,0.002016787,20,pH_Sal,3
I20,0.003014713,23,pH,1
I20,0.002860372,23,pH,2
I20,0.002975138,23,pH,3
I20,0.002252396,23,pH_Sal,1
I20,0.00224761,23,pH_Sal,2
I20,0.001965161,23,pH_Sal,3
I20,0.003278104,27,pH,1
I20,0.003151023,27,pH,2
I20,0.003058377,27,pH,3
I20,0.002551416,27,pH_Sal,1
I20,0.002482765,27,pH_Sal,2
I20,0.002424122,27,pH_Sal,3
I20,0.003419991,30,pH,1
I20,0.00334686,30,pH,2
I20,0.003153155,30,pH,3
I20,0.002507769,30,pH_Sal,1
I20,0.001625297,30,pH_Sal,2
I20,0.002385975,30,pH_Sal,3
I20,0.004464678,34,pH,1
I20,0.003966196,34,pH,2
I20,0.003801542,34,pH,3
I20,0.002919112,34,pH_Sal,1
I20,0.002589579,34,pH_Sal,2
I20,0.001897789,34,pH_Sal,3
I20,0.004823871,38,pH,1
I20,0.004336531,38,pH,2
I20,0.003936336,38,pH,3
I20,0.001472045,38,pH_Sal,1
I20,0.001570264,38,pH_Sal,2
I20,0.002472827,38,pH_Sal,3
I20,0.004268295,42,pH,1
I20,0.003396367,42,pH,2
I20,0.003070587,42,pH,3
I20,0.000343412,42,pH_Sal,1
I20,0.000564427,42,pH_Sal,2
I20,0.001010667,42,pH_Sal,3
I22,0.00309067,15,Control,1
I22,0.003105896,15,Control,2
I22,0.002790373,15,Control,3
I22,0.002374687,15,Sal,1
I22,0.002321098,15,Sal,2
I22,0.00247654,15,Sal,3
I22,0.004058623,20,Control,1
I22,0.004045002,20,Control,2
I22,0.003821524,20,Control,3
I22,0.003130551,20,Sal,1
I22,0.002632851,20,Sal,2
I22,0.003072777,20,Sal,3
I22,0.004111557,23,Control,1
I22,0.003544459,23,Control,2
I22,0.003557266,23,Control,3
I22,0.003160705,23,Sal,1
I22,0.003084425,23,Sal,2
I22,0.003092559,23,Sal,3
I22,0.003969328,27,Control,1
I22,0.003368674,27,Control,2
I22,0.003983965,27,Control,3
I22,0.005196364,27,Sal,2
I22,0.005124603,27,Sal,3
I22,0.00368975,30,Control,1
I22,0.003634669,30,Control,2
I22,0.003649449,30,Control,3
I22,0.003534175,30,Sal,1
I22,0.003498576,30,Sal,2
I22,0.003543274,30,Sal,3
I22,0.000881223,34,Control,1
I22,0.000876446,34,Control,2
I22,0.000989881,34,Control,3
I22,0.003413958,34,Sal,1
I22,0.003867244,34,Sal,2
I22,0.004105353,34,Sal,3
I22,0.003223273,38,Sal,1
I22,0.003634921,38,Sal,2
I22,0.003521502,38,Sal,3
I22,0.001824795,15,pH,1
I22,0.0018911,15,pH,2
I22,0.001803471,15,pH,3
I22,0.002160489,15,pH_Sal,1
I22,0.002223153,15,pH_Sal,2
I22,0.002188908,15,pH_Sal,3
I22,0.00232348,20,pH,1
I22,0.002272302,20,pH,2
I22,0.002678137,20,pH,3
I22,0.002746761,20,pH_Sal,1
I22,0.002877497,20,pH_Sal,2
I22,0.002740788,20,pH_Sal,3
I22,0.003299122,23,pH,1
I22,0.003751036,23,pH,2
I22,0.003939713,23,pH,3
I22,0.003198673,23,pH_Sal,1
I22,0.003288409,23,pH_Sal,2
I22,0.003023309,23,pH_Sal,3
I22,0.003890237,27,pH,1
I22,0.003830496,27,pH,2
I22,0.003755031,27,pH,3
I22,0.003793722,27,pH_Sal,1
I22,0.003853527,27,pH_Sal,2
I22,0.003708727,27,pH_Sal,3
I22,0.004091867,30,pH,1
I22,0.003846155,30,pH,2
I22,0.00397781,30,pH,3
I22,0.005328679,30,pH_Sal,1
I22,0.005420554,30,pH_Sal,2
I22,0.005497782,30,pH_Sal,3
I22,0.0014774,34,pH,1
I22,0.001033036,34,pH,2
I22,0.000963577,34,pH,3
I22,0.003541373,34,pH_Sal,1
I22,0.003459029,34,pH_Sal,2
I22,0.003559814,34,pH_Sal,3
I22,0.002247952,38,pH_Sal,1
I22,0.002096203,38,pH_Sal,2
I22,0.002162773,38,pH_Sal,3
D17,0.001856312,15,Control,1
D17,0.001829066,15,Control,2
D17,0.001827345,15,Control,3
D17,0.001463995,15,Sal,1
D17,0.001465484,15,Sal,2
D17,0.001426679,15,Sal,3
D17,0.00217607,20,Control,1
D17,0.001554897,20,Control,2
D17,0.002196674,20,Control,3
D17,0.001574588,20,Sal,1
D17,0.001562135,20,Sal,2
D17,0.001405485,20,Sal,3
D17,0.002226888,23,Control,1
D17,0.00205434,23,Control,2
D17,0.001773373,23,Control,3
D17,0.001636652,23,Sal,1
D17,0.001659464,23,Sal,2
D17,0.001650431,23,Sal,3
D17,0.003075268,27,Control,1
D17,0.002997255,27,Control,2
D17,0.00292469,27,Control,3
D17,0.00106766,27,Sal,1
D17,0.001649878,27,Sal,2
D17,0.001690992,27,Sal,3
D17,0.003378164,30,Control,1
D17,0.002182652,30,Control,2
D17,0.003158595,30,Control,3
D17,0.001750678,30,Sal,1
D17,0.00172948,30,Sal,2
D17,0.001907902,30,Sal,3
D17,0.002844963,34,Control,1
D17,0.002675479,34,Control,2
D17,0.002674266,34,Control,3
D17,0.001425544,34,Sal,1
D17,0.001214329,34,Sal,2
D17,0.001482323,34,Sal,3
D17,0.002103738,38,Control,1
D17,0.001999583,38,Control,2
D17,0.002365407,38,Control,3
D17,0.001572955,15,pH,1
D17,0.00174753,15,pH,2
D17,0.001490326,15,pH,3
D17,0.001149815,15,pH_Sal,1
D17,0.001030311,15,pH_Sal,2
D17,0.001116744,15,pH_Sal,3
D17,0.002193948,20,pH,1
D17,0.001808568,20,pH,2
D17,0.002224512,20,pH,3
D17,0.001922687,20,pH_Sal,1
D17,0.001902898,20,pH_Sal,2
D17,0.001888919,20,pH_Sal,3
D17,0.002649133,23,pH,1
D17,0.00264238,23,pH,2
D17,0.002424244,23,pH,3
D17,0.001654093,23,pH_Sal,1
D17,0.001716881,23,pH_Sal,2
D17,0.001796175,23,pH_Sal,3
D17,0.003056591,27,pH,1
D17,0.00308997,27,pH,3
D17,0.001731221,27,pH_Sal,1
D17,0.00162987,27,pH_Sal,2
D17,0.00166622,27,pH_Sal,3
D17,0.003168412,30,pH,1
D17,0.003166637,30,pH,2
D17,0.003207023,30,pH,3
D17,0.001519896,30,pH_Sal,1
D17,0.001360556,30,pH_Sal,2
D17,0.00163437,30,pH_Sal,3
D17,0.003535247,34,pH,1
D17,0.003395733,34,pH,2
D17,0.003607833,34,pH,3
D17,0.001847853,34,pH_Sal,1
D17,0.001921968,34,pH_Sal,2
D17,0.001975176,34,pH_Sal,3
D17,0.002441897,38,pH,1
D17,0.002950552,38,pH,2
D17,0.002831906,38,pH,3
I2,0.002107682,15,Control,1
I2,0.002178327,15,Control,2
I2,0.002250787,15,Control,3
I2,0.001494426,15,Sal,1
I2,0.00152026,15,Sal,2
I2,0.001571416,15,Sal,3
I2,0.002073129,20,Control,1
