Community,Qubit_ug_ml,Com_Id,Media,Temp,Evo_status,SampleID,Stress,Diversity,Sample_Type
327,34.8,Com21,M2,38,Evo,M2.38.E.C21,pHTemp,Eight,Sample
329,38.2,Com22,M2,38,Evo,M2.38.E.C22,pHTemp,Eight,Sample
330,21.4,I20,M2,38,Evo,M2.38.E.I20,pHTemp,One,Sample
3,48.4,Com1,M3,20,NA,M3.20.C1,Sal,Two,Sample
42,30.2,Com10,M3,20,NA,M3.20.C10,Sal,Four,Sample
46,21.2,Com11,M3,20,NA,M3.20.C11,Sal,Four,Sample
50,14.9,Com12,M3,20,NA,M3.20.C12,Sal,Four,Sample
106,21.4,Com13,M3,20,Non_evo,M3.20.C13,Sal,Eight,Sample
109,27.4,Com14,M3,20,Non_evo,M3.20.C14,Sal,Eight,Sample
112,31.2,Com15,M3,20,Non_evo,M3.20.C15,Sal,Eight,Sample
116,28,Com16,M3,20,Non_evo,M3.20.C16,Sal,Eight,Sample
119,32.8,Com17,M3,20,Non_evo,M3.20.C17,Sal,Eight,Sample
122,26.4,Com18,M3,20,Non_evo,M3.20.C18,Sal,Eight,Sample
126,25.8,Com19,M3,20,Non_evo,M3.20.C19,Sal,Eight,Sample
7,24.6,Com2,M3,20,NA,M3.20.C2,Sal,Two,Sample
129,27.8,Com20,M3,20,Non_evo,M3.20.C20,Sal,Eight,Sample
132,29.8,Com21,M3,20,Non_evo,M3.20.C21,Sal,Eight,Sample
136,40.8,Com22,M3,20,Non_evo,M3.20.C22,Sal,Eight,Sample
11,32.4,Com3,M3,20,NA,M3.20.C3,Sal,Two,Sample
16,23.4,Com4,M3,20,NA,M3.20.C4,Sal,Two,Sample
20,18.5,Com5,M3,20,NA,M3.20.C5,Sal,Two,Sample
24,31.8,Com6,M3,20,NA,M3.20.C6,Sal,Two,Sample
29,34,Com7,M3,20,NA,M3.20.C7,Sal,Four,Sample
33,46.8,Com8,M3,20,NA,M3.20.C8,Sal,Four,Sample
37,15.4,Com9,M3,20,NA,M3.20.C9,Sal,Four,Sample
139,35.4,Com13,M3,20,Evo,M3.20.E.C13,Sal,Eight,Sample
142,31.2,Com14,M3,20,Evo,M3.20.E.C14,Sal,Eight,Sample
145,23,Com15,M3,20,Evo,M3.20.E.C15,Sal,Eight,Sample
148,43.6,Com16,M3,20,Evo,M3.20.E.C16,Sal,Eight,Sample
151,38.6,Com17,M3,20,Evo,M3.20.E.C17,Sal,Eight,Sample
154,27,Com18,M3,20,Evo,M3.20.E.C18,Sal,Eight,Sample
157,30.8,Com19,M3,20,Evo,M3.20.E.C19,Sal,Eight,Sample
160,40,Com20,M3,20,Evo,M3.20.E.C20,Sal,Eight,Sample
163,35.2,Com21,M3,20,Evo,M3.20.E.C21,Sal,Eight,Sample
166,28,Com22,M3,20,Evo,M3.20.E.C22,Sal,Eight,Sample
169,30.4,I20,M3,20,Evo,M3.20.E.I20,Sal,One,Sample
55,5.5,Com1,M3,38,NA,M3.38.C1,SalTemp,Two,Sample
94,3.42,Com10,M3,38,NA,M3.38.C10,SalTemp,Four,Sample
98,18.7,Com11,M3,38,NA,M3.38.C11,SalTemp,Four,Sample
102,3.96,Com12,M3,38,NA,M3.38.C12,SalTemp,Four,Sample
173,30,Com13,M3,38,Non_evo,M3.38.C13,SalTemp,Eight,Sample
176,19.9,Com14,M3,38,Non_evo,M3.38.C14,SalTemp,Eight,Sample
179,13.8,Com15,M3,38,Non_evo,M3.38.C15,SalTemp,Eight,Sample
182,4.9,Com16,M3,38,Non_evo,M3.38.C16,SalTemp,Eight,Sample
185,36.4,Com17,M3,38,Non_evo,M3.38.C17,SalTemp,Eight,Sample
188,19.7,Com18,M3,38,Non_evo,M3.38.C18,SalTemp,Eight,Sample
191,13,Com19,M3,38,Non_evo,M3.38.C19,SalTemp,Eight,Sample
59,27.8,Com2,M3,38,NA,M3.38.C2,SalTemp,Two,Sample
194,25.6,Com20,M3,38,Non_evo,M3.38.C20,SalTemp,Eight,Sample
206,4.34,Com21,M3,38,Non_evo,M3.38.C21,SalTemp,Eight,Sample
209,4.76,Com22,M3,38,Non_evo,M3.38.C22,SalTemp,Eight,Sample
63,6.8,Com3,M3,38,NA,M3.38.C3,SalTemp,Two,Sample
68,1.25,Com4,M3,38,NA,M3.38.C4,SalTemp,Two,Sample
72,10.4,Com5,M3,38,NA,M3.38.C5,SalTemp,Two,Sample
76,<0.5,Com6,M3,38,NA,M3.38.C6,SalTemp,Two,Sample
81,11.8,Com7,M3,38,NA,M3.38.C7,SalTemp,Four,Sample
85,18.6,Com8,M3,38,NA,M3.38.C8,SalTemp,Four,Sample
89,2.56,Com9,M3,38,NA,M3.38.C9,SalTemp,Four,Sample
212,27.4,Com13,M3,38,Evo,M3.38.E.C13,SalTemp,Eight,Sample
215,23,Com14,M3,38,Evo,M3.38.E.C14,SalTemp,Eight,Sample
218,18.7,Com15,M3,38,Evo,M3.38.E.C15,SalTemp,Eight,Sample
221,3.6,Com16,M3,38,Evo,M3.38.E.C16,SalTemp,Eight,Sample
224,21.8,Com17,M3,38,Evo,M3.38.E.C17,SalTemp,Eight,Sample
227,27.2,Com18,M3,38,Evo,M3.38.E.C18,SalTemp,Eight,Sample
244,11.8,Com18_2,M3,38,Evo,M3.38.EC18.2,SalTemp,NA,Sample
230,16.5,Com19,M3,38,Evo,M3.38.E.C19,SalTemp,Eight,Sample
233,15.2,Com20,M3,38,Evo,M3.38.E.C20,SalTemp,Eight,Sample
236,5.04,Com21,M3,38,Evo,M3.38.E.C21,SalTemp,Eight,Sample
239,5.2,Com22,M3,38,Evo,M3.38.E.C22,SalTemp,Eight,Sample
242,18.6,I20,M3,38,Evo,M3.38.E.I20,SalTemp,One,Sample
4,39.6,Com1,M4,20,NA,M4.20.C1,pHSal,Two,Sample
43,24.4,Com10,M4,20,NA,M4.20.C10,pHSal,Four,Sample
47,18.7,Com11,M4,20,NA,M4.20.C11,pHSal,Four,Sample
107,18.5,Com13,M4,20,Non_evo,M4.20.C13,pHSal,Eight,Sample
110,17.2,Com14,M4,20,Non_evo,M4.20.C14,pHSal,Eight,Sample
113,26.6,Com15,M4,20,Non_evo,M4.20.C15,pHSal,Eight,Sample
117,21.8,Com16,M4,20,Non_evo,M4.20.C16,pHSal,Eight,Sample
120,19.2,Com17,M4,20,Non_evo,M4.20.C17,pHSal,Eight,Sample
123,21.4,Com18,M4,20,Non_evo,M4.20.C18,pHSal,Eight,Sample
127,30,Com19,M4,20,Non_evo,M4.20.C19,pHSal,Eight,Sample
8,20.4,Com2,M4,20,NA,M4.20.C2,pHSal,Two,Sample
130,25.8,Com20,M4,20,Non_evo,M4.20.C20,pHSal,Eight,Sample
133,26.8,Com21,M4,20,Non_evo,M4.20.C21,pHSal,Eight,Sample
137,28.6,Com22,M4,20,Non_evo,M4.20.C22,pHSal,Eight,Sample
12,25.4,Com3,M4,20,NA,M4.20.C3,pHSal,Two,Sample
17,14.4,Com4,M4,20,NA,M4.20.C4,pHSal,Two,Sample
21,11.7,Com5,M4,20,NA,M4.20.C5,pHSal,Two,Sample
25,16.4,Com6,M4,20,NA,M4.20.C6,pHSal,Two,Sample
30,24.8,Com7,M4,20,NA,M4.20.C7,pHSal,Four,Sample
34,24.8,Com8,M4,20,NA,M4.20.C8,pHSal,Four,Sample
38,17.8,Com9,M4,20,NA,M4.20.C9,pHSal,Four,Sample
140,25.8,Com13,M4,20,Evo,M4.20.E.C13,pHSal,Eight,Sample
143,22.8,Com14,M4,20,Evo,M4.20.E.C14,pHSal,Eight,Sample
146,14.8,Com15,M4,20,Evo,M4.20.E.C15,pHSal,Eight,Sample
149,32.6,Com16,M4,20,Evo,M4.20.E.C16,pHSal,Eight,Sample
152,23.2,Com17,M4,20,Evo,M4.20.E.C17,pHSal,Eight,Sample
155,24.2,Com18,M4,20,Evo,M4.20.E.C18,pHSal,Eight,Sample
158,15.8,Com19,M4,20,Evo,M4.20.E.C19,pHSal,Eight,Sample
161,32,Com20,M4,20,Evo,M4.20.E.C20,pHSal,Eight,Sample
164,25.4,Com21,M4,20,Evo,M4.20.E.C21,pHSal,Eight,Sample
167,23.8,Com22,M4,20,Evo,M4.20.E.C22,pHSal,Eight,Sample
170,24,I20,M4,20,Evo,M4.20.E.I20,pHSal,One,Sample
56,3.12,Com1,M4,38,NA,M4.38.C1,pHSalTemp,Two,Sample
99,22.2,Com11,M4,38,NA,M4.38.C11,pHSalTemp,Four,Sample
174,32.2,Com13,M4,38,Non_evo,M4.38.C13,pHSalTemp,Eight,Sample
177,14.1,Com14,M4,38,Non_evo,M4.38.C14,pHSalTemp,Eight,Sample
180,33.4,Com15,M4,38,Non_evo,M4.38.C15,pHSalTemp,Eight,Sample
183,4.6,Com16,M4,38,Non_evo,M4.38.C16,pHSalTemp,Eight,Sample
186,29.6,Com17,M4,38,Non_evo,M4.38.C17,pHSalTemp,Eight,Sample
189,25.6,Com18,M4,38,Non_evo,M4.38.C18,pHSalTemp,Eight,Sample
192,21.2,Com19,M4,38,Non_evo,M4.38.C19,pHSalTemp,Eight,Sample
60,32.4,Com2,M4,38,NA,M4.38.C2,pHSalTemp,Two,Sample
195,22.4,Com20,M4,38,Non_evo,M4.38.C20,pHSalTemp,Eight,Sample
207,2.4,Com21,M4,38,Non_evo,M4.38.C21,pHSalTemp,Eight,Sample
210,2.66,Com22,M4,38,Non_evo,M4.38.C22,pHSalTemp,Eight,Sample
69,<0.5,Com4,M4,38,NA,M4.38.C4,pHSalTemp,Two,Sample
73,5.96,Com5,M4,38,NA,M4.38.C5,pHSalTemp,Two,Sample
77,0.246,Com6,M4,38,NA,M4.38.C6,pHSalTemp,Two,Sample
82,3.54,Com7,M4,38,NA,M4.38.C7,pHSalTemp,Four,Sample
86,25.8,Com8,M4,38,NA,M4.38.C8,pHSalTemp,Four,Sample
90,0.818,Com9,M4,38,NA,M4.38.C9,pHSalTemp,Four,Sample
213,20.2,Com13,M4,38,Evo,M4.38.E.C13,pHSalTemp,Eight,Sample
216,33.4,Com14,M4,38,Evo,M4.38.E.C14,pHSalTemp,Eight,Sample
219,33.2,Com15,M4,38,Evo,M4.38.E.C15,pHSalTemp,Eight,Sample
222,6.3,Com16,M4,38,Evo,M4.38.E.C16,pHSalTemp,Eight,Sample
225,26.4,Com17,M4,38,Evo,M4.38.E.C17,pHSalTemp,Eight,Sample
228,17.2,Com18,M4,38,Evo,M4.38.E.C18,pHSalTemp,Eight,Sample
231,23.8,Com19,M4,38,Evo,M4.38.E.C19,pHSalTemp,Eight,Sample
234,14.2,Com20,M4,38,Evo,M4.38.E.C20,pHSalTemp,Eight,Sample
237,3.82,Com21,M4,38,Evo,M4.38.E.C21,pHSalTemp,Eight,Sample
240,2.62,Com22,M4,38,Evo,M4.38.E.C22,pHSalTemp,Eight,Sample
243,8.18,I20,M4,38,Evo,M4.38.E.I20,pHSalTemp,One,Sample
Mix1,16.1,Mix1,NA,NA,Non_evo,Mix1,NA,NA,Sample
